Time,Temp,Z,cumZ,Soot
5670.3,406.577067826087,2947.94,31981551.378,96.67222709
5716.4,408.0906704347826,2939.920000000001,32117266.550999995,96.60898708
5762.5,409.63804782608696,2873.0,32251254.356999997,96.5433063
5808.6,411.2656269565217,2666.56,32378941.215,96.47456455
5854.7,412.8328473913043,2589.7800000000007,32500099.851999998,96.4026618
5900.8,414.3228391304348,2555.3599999999988,32618695.329,96.32793816
5946.9,415.8467452173913,2369.2400000000002,32732207.358999997,96.25049366
5993.0,417.42219347826085,2464.4,32843622.761,96.16980813
6039.1,418.9600510869565,2441.0799999999995,32956694.075,96.08576154
6085.2,420.48798,2385.84,33067954.580999997,95.99831387
6131.3,422.01856586956524,2285.9199999999996,33175638.648999996,95.907085
6177.4,423.56860260869564,2376.359999999996,33283104.202999994,95.8119349
6223.5,425.1312641304348,2573.7,33397203.085999995,95.71276352
6269.6,426.6527904347826,2619.6000000000004,33516908.650999997,95.60933079
6315.7,428.1953308695652,2655.6599999999994,33638503.393999994,95.50163672
6361.8,429.74771000000004,2671.44,33761293.048999995,95.38918114
6407.9,431.3047417391304,2677.8999999999996,33884595.335999995,95.27134385
6454.0,432.85438695652175,2660.0,34007633.930999994,95.1482249
6500.1,434.4530547826087,2679.7999999999993,34130716.320999995,95.01966422
6546.2,436.0079843478261,2664.399999999998,34253900.13099999,94.88530171
6592.3,437.5523993478261,2803.2200000000003,34379928.77199999,94.74521739
6638.4,439.11369391304345,2915.199999999999,34511738.35299999,94.59913117
6684.5,440.6594086956522,2951.9,34646975.007999994,94.44648287
6730.6,442.2391082608696,2980.9600000000005,34783727.430999994,94.28673232
6776.7,443.7786202173913,3020.0,34922049.55899999,94.11987953
6822.8,445.3228139130435,3062.4000000000005,35062248.87899999,93.94602452
6868.9,446.8775510869565,3054.4000000000015,35203241.118999995,93.76462713
6915.0,448.4424673913043,3078.0,35344592.938999996,93.57540726
6961.1,450.0025371739131,3123.3200000000006,35487533.364999995,93.37774472
7007.2,451.52560260869564,3160.88,35632384.17499999,93.17143944
7053.3,453.07548673913044,3182.6200000000003,35778601.849999994,92.95611131
7099.4,454.63675347826086,3245.5199999999995,35926770.47699999,92.7313602
7145.5,456.2064608695652,3223.0,36075869.86299999,92.496846
7191.6,457.7291843478261,3280.2400000000007,36225769.544999994,92.2522086
7237.7,459.2739463043478,3337.8599999999997,36378316.74999999,91.99790814
7283.8,460.80302347826085,3453.32,36534853.44899999,91.73316437
7329.9,462.3804254347826,3521.8199999999993,36695630.42599999,91.45673691
7376.0,463.9364956521739,3597.2,36859723.83699999,91.16872579
7422.1,465.45747,3672.9400000000005,37027300.56399999,90.86911099
7468.2,466.9980356521739,3712.92,37197544.63699999,90.55681218
7514.3,468.521147826087,3783.1600000000003,37370329.28099999,90.23162929
7560.4,470.0787678260869,3838.4799999999996,37546008.08299999,89.89322222
7606.5,471.66036304347824,3895.7,37724280.93199999,89.54025054
7652.6,473.2427752173913,3955.5600000000004,37905252.47499999,89.17261422
7698.7,474.76705782608695,3992.96,38088465.86099999,88.79041329
7744.8,476.3085513043478,4032.88,38273461.47299999,88.39320761
7790.9,477.855202173913,4061.6199999999994,38460039.69799999,87.98011691
7837.0,479.3984304347826,4110.4,38648404.758999996,87.55016087
7883.1,480.9582865217391,4145.5199999999995,38838703.714999996,87.10253924
7929.2,482.5284669565217,4143.5199999999995,39029766.087,86.63723202
7975.3,484.09076782608696,4155.76,39221064.491,86.15445927
8021.4,485.58895739130435,4143.12,39412353.675,85.65366082
8067.5,487.11989782608697,4149.0,39603487.041,85.1343365
8113.6,488.61943565217393,4148.5599999999995,39794745.799,84.5945057
8159.7,490.2212545652174,4150.0,39986027.607,84.03406838
8205.8,491.77235260869566,4137.68,40177058.631,83.45256439
8251.9,493.24112413043474,4115.62,40367297.196,82.85101406
8298.0,494.7698304347826,4096.8,40556593.477000006,82.23025765
8344.1,496.34489760869565,4052.3599999999997,40744431.61500001,81.58767434
8390.2,497.9088439130435,4013.7999999999993,40930356.60300001,80.92108343
8436.3,499.4382726086956,3970.440000000001,41114393.335,80.23038489
8482.4,500.97249999999997,3919.6000000000004,41296258.757,79.51743932
8528.5,502.4917304347826,3869.8,41475804.427,78.78068621
8574.6,504.00817608695655,3813.3999999999996,41652902.187,78.01908524
8620.7,505.5420136956522,3767.2999999999993,41827637.322,77.23309655
8666.8,507.0870947826087,3720.5600000000004,42000232.49499999,76.42438067
8712.9,508.6327373913043,3669.6800000000003,42170577.52699999,75.59129709
8759.0,510.19121739130435,3616.8,42338530.89099999,74.72956443
8805.1,511.72332239130435,3570.8999999999996,42504207.37599999,73.84262381
8851.2,513.2841217391305,3519.0399999999995,42667630.492999986,72.93131547
8897.3,514.7985130434782,3473.2400000000007,42828802.54699998,71.99227836
8943.4,516.2236956521739,3419.9200000000005,42987689.88499998,71.02881352
8989.5,517.7180999999999,3356.7,43143890.97599998,70.04284156
9035.6,519.3192817391305,3300.1599999999994,43297331.598999985,69.03574291
9081.7,520.9225510869566,3241.959999999999,43448127.46499999,68.00461666
9127.8,522.4351995652174,3187.080000000001,43596316.83699998,66.94590168
9173.9,523.9853028260869,3138.1000000000004,43742112.23599999,65.86425945
9220.0,525.5190565217391,3088.0,43885623.84099999,64.76131048
9266.1,526.992212173913,3041.12,44026900.05699999,63.64059588
9312.2,528.4618700000001,2984.919999999999,44165800.27899999,62.50115537
9358.3,530.0028517391304,2933.3600000000006,44302216.63299999,61.33838747
9404.4,531.5518513043478,2876.9600000000005,44436144.50899999,60.15413277
9450.5,533.0544119565218,2827.4,44567630.00699999,58.94961166
9496.6,534.58326,2776.7599999999993,44696805.894999996,57.72678475
9542.7,536.088245,2726.7599999999993,44823662.030999996,56.48997343
9588.8,537.6054460869565,2674.9600000000005,44948171.67699999,55.23971785
9634.9,539.1425213043478,2624.0800000000004,45070314.548999995,53.97157661
9681.0,540.7118086956522,2584.8,45190379.232999995,52.69101144
9727.1,542.2787119565218,2532.8999999999996,45308342.217999995,51.39966285
9773.2,543.7850843478261,2486.7999999999993,45424046.302999996,50.09711073
9819.3,545.3143695652174,2444.7000000000007,45537717.37799999,48.7882366
9865.4,546.8387204347827,2400.76,45649405.23099999,47.46641837
9911.5,548.3964347826087,2360.2,45759145.35899999,46.13823814
9957.6,549.945147826087,2313.9199999999996,45866883.82499999,44.81057807
10003.7,551.4438473913043,2254.6647333333326,45972189.70310332,43.4810374
10049.8,552.9344586956521,2234.336340740741,46075661.17786072,42.15099658
10095.9,554.475207826087,2214.007948148148,46178195.51371961,40.82021552
10142.0,556.0131304347826,2181.96,46279522.574924424,39.48995462
10188.1,557.5251154347826,2148.7679999999996,46379345.855324425,38.1624546
10234.2,559.0492191304348,2114.2763999999993,46477609.02874442,36.83847569
10280.3,560.5906630434782,2079.3326000000006,46574271.71619442,35.5192783
10326.4,562.1550060869565,2039.5312000000004,46669211.52678442,34.21092434
10372.5,563.6737510869565,1996.105,46762232.94119442,32.9165748
10418.6,565.2087734782608,1952.7903999999996,46853254.98016442,31.63570954
10464.7,566.7633558695652,1909.6407999999992,46942284.01932442,30.36750828
10510.8,568.2746834782608,1867.8952000000006,47029356.22412442,29.11417172
10556.9,569.80462,1830.7386000000004,47114609.733214416,27.87379927
10603.0,571.3581,1793.57,47198150.046444416,26.64753128
10649.1,572.8418782608695,1756.2289999999998,47279972.913394414,25.44002923
10695.2,574.3143165217391,1718.8879999999995,47360074.360244416,24.25297364
10741.3,575.8214432608695,1682.2904000000005,47438471.522364415,23.08846519
10787.4,577.3629630434782,1645.7792000000002,47515183.526644416,21.94552356
10833.5,578.8911597826087,1607.392,47590169.12280442,20.82847013
10879.6,580.4110391304348,1568.2991999999997,47663368.804964416,19.7402058
10925.7,581.9639282608696,1530.5941999999993,47734798.29783442,18.67672932
10971.8,583.5188869565217,1493.9908000000005,47804514.982084416,17.63541985
11017.9,585.0868295652174,1457.6380000000001,47872550.025924414,16.62029866
11064.0,586.5863956521739,1421.6799999999998,47938918.305824414,15.63502692
11110.1,588.0896897826087,1387.1359999999997,48003661.51462442,14.67806414
11156.2,589.6141278260869,1357.6319999999994,48066928.41702442,13.75047065
11202.3,591.0923984782609,1328.6616000000001,48128847.48450442,12.85222644
11248.4,592.6111921739131,1309.8528000000001,48189665.24142442,11.98473197
11294.5,594.1741315217391,1291.0439999999999,48249615.91266442,11.1495077
11340.6,595.7043343478261,1275.7268,48308779.97960442,10.34471307
11386.7,597.2250784782609,1260.8825999999997,48367248.826274425,9.56898763
11432.8,598.7828139130435,1247.7440000000001,48425072.669404425,8.82385187
11478.9,600.3199647826086,1235.297,48482306.764454424,8.11014605
11525.0,601.8660347826087,1223.9499999999998,48538992.40780442,7.42787018
11571.1,603.4101982608696,1213.5313999999998,48595176.354074426,6.77670415
