t,Resistance,Soot left-mg
631.0,1607.717042,0.5002449774392624
632.0,1607.717042,0.5002449427212581
633.0,1607.717042,0.5002449080032538
634.0,1607.717042,0.5002448732852495
635.0,1607.717042,0.5002448385672451
636.0,1607.717042,0.5002448038492407
637.0,1607.717042,0.5002447691312365
638.0,1607.717042,0.5002447344132321
639.0,1607.717042,0.5002446996952278
640.0,1607.717042,0.5002446649772234
641.0,1607.2017481,0.5002446302592191
642.0,1606.6864542,0.5002445955412148
643.0,1606.1711602999999,0.5002445608232104
644.0,1605.6558664,0.5002445261052061
645.0,1605.1405725,0.5002444913872017
646.0,1604.6252786,0.5002443720444686
647.0,1604.1099847,0.5002441962852494
648.0,1603.5946907999999,0.5002440205260303
649.0,1603.0793969,0.5002438447668113
650.0,1602.564103,0.5002436690075922
651.0,1602.0521016,0.5002434932483731
652.0,1601.5401001999999,0.500243317489154
653.0,1601.0280988,0.5002431417299349
654.0,1600.5160974,0.5002429659707158
655.0,1600.0040960000001,0.5002427902114968
656.0,1599.4920946,0.5002426144522777
657.0,1598.9800932,0.5002424386930585
658.0,1598.4680918000001,0.5002422629338394
659.0,1597.9560904,0.5002420871746204
660.0,1597.444089,0.5002419114154013
661.0,1596.9353489,0.5002417356561822
662.0,1596.4266088000002,0.5002415598969631
663.0,1595.9178687,0.500241384137744
664.0,1595.4091286,0.5002412083785249
665.0,1594.9003885000002,0.5002410326193059
666.0,1594.3916484000001,0.5002408568600868
667.0,1593.8829083,0.5002406811008676
668.0,1593.3741682,0.5002405053416485
669.0,1592.8654281000001,0.5002403295824295
670.0,1592.356688,0.5002401538232104
671.0,1591.8511779,0.5002399780639913
672.0,1591.3456678,0.5002398023047722
673.0,1590.8401577,0.5002396265455531
674.0,1590.3346476,0.500239450786334
675.0,1589.8291375,0.500239275027115
676.0,1589.3236274,0.5002390992678959
677.0,1588.8181173,0.5002389235086767
678.0,1588.3126072,0.5002387477494576
679.0,1587.8070971,0.5002385719902386
680.0,1587.301587,0.5002383962310195
681.0,1587.0500336999999,0.5002382204718004
682.0,1586.7984804,0.5002380447125813
683.0,1586.5469271,0.5002378689533622
684.0,1586.2953737999999,0.5002376931941431
685.0,1586.0438205,0.5002375174349241
686.0,1585.7922672,0.500237341675705
687.0,1585.5407139,0.5002371659164858
688.0,1585.2891605999998,0.5002369901572667
689.0,1585.0376073,0.5002368143980477
690.0,1584.786054,0.5002366386388286
691.0,1584.0361552,0.5002364628796095
692.0,1583.2862564,0.5002362035791756
693.0,1582.5363576,0.500235860737527
694.0,1581.7864588,0.5002355178958785
695.0,1581.03656,0.5002351750542299
696.0,1580.2866612,0.5002348322125812
697.0,1579.5367624,0.5002344893709327
698.0,1578.7868636,0.5002341465292841
699.0,1578.0369648,0.5002338036876355
700.0,1577.287066,0.500233460845987
701.0,1577.0386744,0.5002331180043383
702.0,1576.7902828,0.5002327751626897
703.0,1576.5418912,0.5002324323210412
704.0,1576.2934996000001,0.5002320894793926
705.0,1576.045108,0.500231746637744
706.0,1575.7967164,0.5002314037960954
707.0,1575.5483248,0.5002310609544468
708.0,1575.2999332,0.5002307181127982
709.0,1575.0515416,0.5002303752711497
710.0,1574.80315,0.500230032429501
711.0,1574.3087063,0.5002296895878524
712.0,1573.8142626,0.5002293467462039
713.0,1573.3198189,0.5002290039045553
714.0,1572.8253752,0.5002286610629066
715.0,1572.3309315000001,0.5002283182212581
716.0,1571.8364878,0.5002279753796095
717.0,1571.3420441,0.5002276325379609
718.0,1570.8476004000001,0.5002272896963124
719.0,1570.3531567,0.5002269468546637
720.0,1569.858713,0.5002266040130151
721.0,1569.6126536000002,0.5002262611713666
722.0,1569.3665942,0.500225918329718
723.0,1569.1205348,0.5002255754880693
724.0,1568.8744754,0.5002252326464208
725.0,1568.628416,0.5002248898047722
726.0,1568.3823566,0.5002245469631236
727.0,1568.1362972,0.5002242041214751
728.0,1567.8902378,0.5002238612798264
729.0,1567.6441783999999,0.5002235184381778
730.0,1567.398119,0.5002231755965293
731.0,1566.6645472999999,0.5002228327548807
732.0,1565.9309756,0.500222489913232
733.0,1565.1974039,0.5002221470715835
734.0,1564.4638322,0.5002218042299349
735.0,1563.7302605,0.5002214613882863
736.0,1562.9966888,0.5002211185466378
737.0,1562.2631171,0.5002207757049891
738.0,1561.5295454,0.5002203660303688
739.0,1560.7959737,0.5002198561062906
740.0,1560.062402,0.5002193461822125
741.0,1559.3356649,0.5002188362581345
742.0,1558.6089278,0.5002183263340564
743.0,1557.8821907000001,0.5002178164099783
744.0,1557.1554536,0.5002173064859002
745.0,1556.4287165,0.500216796561822
746.0,1555.7019794,0.500216286637744
747.0,1554.9752423,0.5002157767136659
748.0,1554.2485052000002,0.5002152667895878
749.0,1553.5217681000001,0.5002147568655098
750.0,1552.795031,0.5002142469414317
751.0,1552.795031,0.5002137370173535
752.0,1552.795031,0.5002132270932754
753.0,1552.795031,0.5002127171691974
754.0,1552.795031,0.5002122072451193
755.0,1552.795031,0.5002116973210412
756.0,1552.795031,0.5002111873969631
757.0,1552.795031,0.500210677472885
758.0,1552.795031,0.5002101675488069
759.0,1552.795031,0.5002096576247288
760.0,1552.795031,0.5002091477006507
761.0,1551.8365156,0.5002086377765727
762.0,1550.8780002,0.5002081278524946
763.0,1549.9194848000002,0.5002076179284165
764.0,1548.9609694,0.5002071080043383
765.0,1548.002454,0.5002065980802602
766.0,1547.0439386,0.5002060881561822
767.0,1546.0854232000002,0.5002055782321041
768.0,1545.1269078,0.500205068308026
769.0,1544.1683924,0.500204558383948
770.0,1543.209877,0.5002040484598698
771.0,1542.4987203,0.5002035385357917
772.0,1541.7875636,0.5002030286117136
773.0,1541.0764069,0.5002025186876355
774.0,1540.3652502,0.5002020087635575
775.0,1539.6540935,0.5002014988394794
776.0,1538.9429368,0.5002009889154012
777.0,1538.2317801000002,0.5002004789913231
778.0,1537.5206234,0.5001999690672451
779.0,1536.8094667,0.500199459143167
780.0,1536.09831,0.5001989492190889
781.0,1535.6278358,0.5001984392950108
782.0,1535.1573616,0.5001979293709327
783.0,1534.6868874000002,0.5001974194468546
784.0,1534.2164132,0.5001968528872017
785.0,1533.745939,0.5001961541778741
786.0,1533.2754648,0.5001954554685466
787.0,1532.8049906,0.5001947567592191
788.0,1532.3345164,0.5001940580498915
789.0,1531.8640421999999,0.500193359340564
790.0,1531.393568,0.5001926606312364
791.0,1531.393568,0.5001919619219088
792.0,1531.393568,0.5001912632125813
793.0,1531.393568,0.5001905645032537
794.0,1531.393568,0.5001898657939262
795.0,1531.393568,0.5001891670845986
796.0,1531.393568,0.5001884683752711
797.0,1531.393568,0.5001877696659436
798.0,1531.393568,0.500187070956616
799.0,1531.393568,0.5001863722472885
800.0,1531.393568,0.500185673537961
801.0,1530.9259669,0.5001849748286333
802.0,1530.4583658,0.5001842761193058
803.0,1529.9907647,0.5001835774099782
804.0,1529.5231635999999,0.5001828787006507
805.0,1529.0555625,0.5001821799913232
806.0,1528.5879614,0.5001814812819956
807.0,1528.1203603,0.5001807825726681
808.0,1527.6527592,0.5001800838633406
809.0,1527.1851580999999,0.500179385154013
810.0,1526.717557,0.5001786864446854
811.0,1526.4848256999999,0.5001779877353578
812.0,1526.2520944,0.5001772890260303
813.0,1526.0193631,0.5001765903167028
814.0,1525.7866318,0.5001758916073752
815.0,1525.5539005,0.5001751928980477
816.0,1525.3211692,0.5001744941887201
817.0,1525.0884379,0.5001737954793926
818.0,1524.8557065999998,0.500173096770065
819.0,1524.6229753,0.5001723980607374
820.0,1524.390244,0.5001716993514099
821.0,1523.9269035,0.5001710006420824
822.0,1523.463563,0.5001703019327548
823.0,1523.0002224999998,0.5001696032234273
824.0,1522.5368819999999,0.5001689045140997
825.0,1522.0735415,0.5001682058047722
826.0,1521.610201,0.5001675070954447
827.0,1521.1468605,0.500166808386117
828.0,1520.6835199999998,0.5001661096767895
829.0,1520.2201794999999,0.500165410967462
830.0,1519.756839,0.5001646723340564
831.0,1519.2963066,0.5001637740043383
832.0,1518.8357741999998,0.5001628756746204
833.0,1518.3752418,0.5001619773449023
834.0,1517.9147094,0.5001610790151844
835.0,1517.454177,0.5001601806854663
836.0,1516.9936446,0.5001592823557484
837.0,1516.5331122,0.5001583840260303
838.0,1516.0725798,0.5001574856963124
839.0,1515.6120474,0.5001565873665943
840.0,1515.151515,0.5001556890368763
