Time-DC,Temp-DC,Resistance,Soot left-mg
6177.4,417.9332,297.85003552600006,0.4790596745
6223.5,419.4182,295.24886881500004,0.4785638176
6269.6,420.946,292.3976608,0.47804665395
6315.7,422.4515,289.37756554500004,0.47750818359999997
6361.8,424.02,286.38559149199995,0.4769459057
6407.9,425.5725,282.65392679300004,0.47635671924999995
6454.0,427.1271,280.58414376,0.4757411245
6500.1,428.6455,277.770083124,0.4750983211
6546.2,430.2559,274.7252747,0.47442650854999996
6592.3,431.744,272.30926427199995,0.47372608694999996
6638.4,433.2673,269.65833760800007,0.47299565585000003
6684.5,434.7834,267.05882352,0.47223241434999996
6730.6,436.3507,264.50838328599997,0.4714336616
6776.7,437.9097,262.4671916,0.47059939765000003
6822.8,439.4243,260.22727274,0.46973012259999997
6868.9,440.9846,257.80521594,0.46882313564999994
6915.0,442.5178,255.42825825,0.46787703630000005
6961.1,444.0923,253.73642614399998,0.4668887236
7007.2,445.6169,251.2562814,0.4658571972
7053.3,447.1592,249.171846499,0.46478055655
7099.4,448.6863,246.95025053800003,0.463656801
7145.5,450.2585,245.369032125,0.46248423000000005
7191.6,451.8472,243.902439,0.46126104300000004
7237.7,453.2493,242.7184466,0.45998954070000003
7283.8,454.7932,240.74374419999998,0.45866582185
7329.9,456.3369,239.240186837,0.45728368455
7376.0,457.9111,237.5296912,0.45584362894999997
7422.1,459.446,236.28953121199999,0.45434555494999995
7468.2,460.9712,234.741784,0.45278406089999995
7514.3,462.4863,233.1002331,0.45115814645
7560.4,464.0283,231.4814815,0.4494661111
7606.5,465.5715,230.4147465,0.4477012527
7652.6,467.1116,229.8850575,0.4458630711
7698.7,468.6846,228.378420748,0.44395206645
7744.8,470.1489,227.7904328,0.44196603805
7790.9,471.7153,227.22634510700004,0.43990058455000003
7837.0,473.2622,225.88684718,0.43775080435
7883.1,474.8379,225.2252252,0.4355126962
7929.2,476.3257,224.7191011,0.4331861601
7975.3,477.8379,223.7136465,0.43077229635000003
8021.4,479.3936,223.2142857,0.4282683041
8067.5,480.9561,222.34595395,0.42567168250000004
8113.6,482.4419,222.2222222,0.4229725285
8159.7,483.9673,221.72949,0.42017034189999997
8205.8,485.5693,221.72949,0.41726282195000003
8251.9,486.9663,221.2389381,0.4142550703
8298.0,488.4824,220.7505519,0.41115128824999997
8344.1,490.0581,220.7505519,0.4079383717
8390.2,491.5615,221.2389381,0.40460541715
8436.3,493.1216,221.2389381,0.40115192445
8482.4,494.6563,221.2389381,0.39758719659999997
8528.5,496.229,221.2389381,0.39390343105
8574.6,497.7344,221.72949,0.3900954262
8620.7,499.2515,222.2222222,0.38616548275
8666.8,500.7003,222.7171492,0.38212190335
8712.9,502.2956,223.2142857,0.37795648545
8759.0,503.8364,224.16508659,0.37364782215
8805.1,505.3812,224.7191011,0.36921311905000004
