Resistance,Temp-DC,Soot left-mg,Time-DC
680.2721088,318.9628,0.49211140405000003,3273.1
520.8333333,345.9188,0.4899567223,4056.8
183.91493336400003,659.872,-0.0070338255,13507.3
244.4987775,584.235,0.0642611322,11202.3
200.8032129,637.1605,-0.005669494000000001,12815.8
256.621185136,537.1779,0.25048555364999997,9773.2
1668.8935249,218.8419,0.5002130675,461.0
138.58099514,761.6642,-0.0045525405000000005,16596.0
230.9468822,512.9093,0.34517871455,9035.6
232.70992570799996,597.8757,0.0307765377,11617.2
151.59792154800002,706.8583,-0.007297109,14936.4
226.7573696,508.4955,0.3599613918,8897.3
350.90190266199994,392.9908,0.48477798375,5439.8
977.7270131599998,282.3358,0.4958488866,2212.8
223.7136465,477.8379,0.43077229635000003,7975.3
